"행정구역","2024년11월_남_총인구수","2024년11월_남_연령구간인구수","2024년11월_남_0~9세","2024년11월_남_10~19세","2024년11월_남_20~29세","2024년11월_남_30~39세","2024년11월_남_40~49세","2024년11월_남_50~59세","2024년11월_남_60~69세","2024년11월_남_70~79세","2024년11월_남_80~89세","2024년11월_남_90~99세","2024년11월_남_100세 이상","2024년11월_여_총인구수","2024년11월_여_연령구간인구수","2024년11월_여_0~9세","2024년11월_여_10~19세","2024년11월_여_20~29세","2024년11월_여_30~39세","2024년11월_여_40~49세","2024년11월_여_50~59세","2024년11월_여_60~69세","2024년11월_여_70~79세","2024년11월_여_80~89세","2024년11월_여_90~99세","2024년11월_여_100세 이상"
"부산광역시 연제구 (2647000000)","101,438","101,438","6,617","8,600","11,157","13,921","15,654","16,392","15,569","9,493","3,778","255","2","111,043","111,043","6,421","8,371","11,440","13,886","16,050","17,934","18,660","11,807","5,614","843","17"
"부산광역시 수영구 (2650000000)","80,484","80,484","4,180","5,849","9,932","11,631","11,603","12,569","12,392","8,470","3,550","302","6","91,542","91,542","4,114","5,459","11,227","11,576","11,975","14,079","16,099","10,923","5,193","874","23"
"부산광역시 사상구 (2653000000)","99,792","99,792","4,439","6,847","12,168","12,947","13,364","17,513","19,938","9,610","2,801","164","1","99,278","99,278","4,147","6,502","11,174","10,734","11,919","17,671","20,521","11,112","4,800","677","21"
"부산광역시 기장군 (2671000000)","87,100","87,100","7,167","10,027","8,259","10,656","16,348","14,090","11,183","6,694","2,471","202","3","88,717","88,717","6,861","9,401","7,275","10,256","16,018","13,264","12,564","8,131","4,172","747","28"
"대구광역시  (2700000000)","1,160,074","1,160,074","73,254","109,354","141,486","150,828","171,511","204,380","178,920","90,481","36,544","3,280","36","1,204,260","1,204,260","69,412","103,115","127,851","131,623","174,239","214,254","195,642","113,594","63,853","10,455","222"
"대구광역시 중구 (2711000000)","46,349","46,349","3,940","3,482","6,167","8,648","7,238","6,681","5,320","3,131","1,576","161","5","50,408","50,408","3,878","3,509","7,220","8,181","6,957","7,011","6,114","4,439","2,651","431","17"
"대구광역시 동구 (2714000000)","167,704","167,704","10,693","13,524","18,710","23,800","24,913","27,915","26,339","15,042","6,236","525","7","175,073","175,073","10,083","12,475","17,308","20,568","23,661","29,190","30,253","19,176","10,676","1,646","37"
"대구광역시 서구 (2717000000)","81,103","81,103","3,617","4,744","8,535","10,860","10,647","14,988","15,896","8,384","3,214","218","0","82,442","82,442","3,278","4,711","7,509","8,292","9,169","14,490","17,476","10,915","5,743","838","21"
"대구광역시 남구 (2720000000)","64,693","64,693","2,708","4,130","8,121","8,661","8,466","11,367","11,063","6,702","3,136","337","2","70,868","70,868","2,466","3,865","8,779","7,262","8,448","11,600","12,985","9,060","5,446","938","19"
"대구광역시 북구 (2723000000)","205,000","205,000","12,179","19,529","28,785","26,008","29,640","38,113","30,516","14,101","5,665","458","6","208,719","208,719","11,621","18,543","24,985","21,925","30,267","39,439","32,326","17,839","10,141","1,599","34"
"대구광역시 수성구 (2726000000)","196,790","196,790","13,056","24,534","24,073","20,985","29,731","35,494","27,581","14,262","6,376","693","5","212,254","212,254","12,191","22,606","21,187","20,561","34,808","39,381","30,845","18,290","10,473","1,874","38"
"대구광역시 달서구 (2729000000)","256,097","256,097","15,245","25,213","33,128","32,491","36,890","46,656","40,645","18,551","6,704","567","7","266,615","266,615","14,475","24,168","29,937","28,007","38,688","50,741","44,247","22,576","11,897","1,846","33"
"대구광역시 달성군 (2771000000)","130,728","130,728","11,551","13,721","13,391","18,692","23,031","21,005","18,229","8,241","2,637","226","4","127,036","127,036","11,209","12,856","10,548","16,346","21,529","20,805","18,606","9,204","4,986","927","20"
"대구광역시 군위군 (2772000000)","11,610","11,610","265","477","576","683","955","2,161","3,331","2,067","1,000","95","0","10,845","10,845","211","382","378","481","712","1,597","2,790","2,095","1,840","356","3"
"인천광역시  (2800000000)","1,508,189","1,508,189","100,217","139,625","182,203","219,908","244,928","257,576","225,954","98,221","35,966","3,495","96","1,510,400","1,510,400","95,395","132,675","170,320","201,082","231,493","259,221","231,953","112,935","62,322","12,600","404"
"인천광역시 중구 (2811000000)","86,001","86,001","6,406","7,639","10,593","14,662","15,257","13,899","10,179","5,243","1,934","181","8","80,353","80,353","6,031","7,421","10,526","12,264","13,211","11,379","9,840","5,927","3,091","637","26"
"인천광역시 중구영종출장소 (2811400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 동구 (2814000000)","29,263","29,263","1,345","2,333","3,040","3,442","4,587","5,166","5,002","2,988","1,267","87","6","29,119","29,119","1,247","2,068","2,752","2,911","3,959","4,671","5,212","3,744","2,131","411","13"
"인천광역시 미추홀구 (2817700000)","207,641","207,641","12,074","16,339","26,939","30,648","33,413","34,823","30,830","15,672","6,322","571","10","204,893","204,893","11,496","15,458","23,975","26,473","29,348","33,452","33,183","19,221","10,311","1,921","55"
"인천광역시 연수구 (2818500000)","198,119","198,119","16,832","23,503","24,091","27,757","34,282","32,790","25,996","9,271","3,231","360","6","202,055","202,055","16,316","22,410","22,616","27,902","35,526","34,314","25,799","10,117","5,676","1,332","47"
"인천광역시 남동구 (2820000000)","241,482","241,482","13,657","23,279","29,499","32,328","39,164","42,626","37,571","16,952","5,876","514","16","245,181","245,181","12,948","22,021","27,644","28,749","37,731","43,622","39,988","20,003","10,432","1,983","60"
"인천광역시 부평구 (2823700000)","241,947","241,947","14,076","19,953","29,781","37,811","36,725","41,467","38,516","16,774","6,223","606","15","250,246","250,246","13,360","18,762","28,959","34,735","35,368","44,478","41,303","20,011","11,085","2,118","67"
"인천광역시 계양구 (2824500000)","139,536","139,536","6,663","11,195","17,908","19,698","19,762","26,269","25,680","8,968","3,056","329","8","141,087","141,087","6,415","10,890","16,294","17,398","19,065","28,193","25,672","9,896","6,022","1,196","46"
"인천광역시 서구 (2826000000)","318,170","318,170","27,474","32,680","36,292","49,851","56,704","52,864","41,200","15,644","4,954","489","18","314,177","314,177","26,000","31,115","34,973","47,820","53,221","52,530","40,541","17,213","8,859","1,845","60"
"인천광역시 서구검단출장소 (2826500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 강화군 (2871000000)","34,644","34,644","1,386","2,205","2,425","2,602","3,702","5,797","8,324","5,314","2,595","286","8","34,655","34,655","1,287","2,097","1,893","2,266","3,318","5,227","8,233","5,476","3,921","921","16"
"인천광역시 옹진군 (2872000000)","11,386","11,386","304","499","1,635","1,109","1,332","1,875","2,656","1,395","508","72","1","8,634","8,634","295","433","688","564","746","1,355","2,182","1,327","794","236","14"
"광주광역시  (2900000000)","695,854","695,854","47,655","75,059","95,396","90,170","109,993","120,272","91,091","45,654","18,768","1,771","25","713,770","713,770","45,677","70,545","87,459","83,695","110,340","122,804","99,028","57,320","30,986","5,756","160"
"광주광역시 동구 (2911000000)","52,308","52,308","3,643","3,852","7,287","7,364","7,494","7,917","7,418","4,658","2,405","267","3","54,105","54,105","3,420","3,651","7,118","6,922","6,737","7,937","8,343","6,002","3,388","572","15"
"광주광역시 서구 (2914000000)","136,580","136,580","8,241","14,320","19,745","17,451","20,633","24,303","18,348","9,337","3,820","380","2","142,759","142,759","7,790","12,933","18,889","16,058","21,533","25,703","20,643","11,810","6,185","1,179","36"
"광주광역시 남구 (2915500000)","99,124","99,124","6,882","11,193","11,776","11,458","15,965","15,757","13,753","8,355","3,644","330","11","108,197","108,197","6,651","11,331","11,303","11,362","16,575","16,937","16,578","10,780","5,609","1,039","32"
"광주광역시 북구 (2917000000)","209,881","209,881","14,121","20,856","28,177","28,174","32,255","35,723","29,363","14,849","5,821","538","4","214,654","214,654","13,584","19,166","25,312","26,006","31,278","36,845","32,630","18,346","9,654","1,786","47"
"광주광역시 광산구 (2920000000)","197,961","197,961","14,768","24,838","28,411","25,723","33,646","36,572","22,209","8,455","3,078","256","5","194,055","194,055","14,232","23,464","24,837","23,347","34,217","35,382","20,834","10,382","6,150","1,180","30"
"대전광역시  (3000000000)","717,664","717,664","47,304","69,875","101,459","101,175","107,012","121,602","99,804","48,445","19,032","1,919","37","722,023","722,023","44,577","65,794","92,903","89,368","107,029","122,289","105,999","56,822","31,266","5,803","173"
"대전광역시 동구 (3011000000)","110,023","110,023","6,101","9,599","15,048","13,378","15,839","19,041","17,179","9,462","3,999","366","11","108,572","108,572","5,671","9,029","13,416","11,307","14,567","17,450","18,032","11,397","6,583","1,089","31"
"대전광역시 중구 (3014000000)","110,206","110,206","6,118","10,041","13,240","13,016","15,897","19,741","17,235","10,028","4,422","457","11","114,481","114,481","5,841","9,635","12,998","12,016","15,732","19,166","18,395","12,484","6,963","1,216","35"
"대전광역시 서구 (3017000000)","224,767","224,767","14,830","23,333","33,125","32,643","34,006","37,135","29,665","14,139","5,342","541","8","233,720","233,720","14,027","22,000","32,672","30,061","35,831","39,598","32,793","16,511","8,529","1,658","40"
"대전광역시 유성구 (3020000000)","187,156","187,156","16,023","19,698","28,810","31,169","29,590","29,086","21,215","8,414","2,816","331","4","182,327","182,327","14,926","18,515","24,572","27,421","30,026","29,945","22,028","8,900","4,879","1,081","34"
"대전광역시 대덕구 (3023000000)","85,512","85,512","4,232","7,204","11,236","10,969","11,680","16,599","14,510","6,402","2,453","224","3","82,923","82,923","4,112","6,615","9,245","8,563","10,873","16,130","14,751","7,530","4,312","759","33"
"울산광역시  (3100000000)","564,865","564,865","37,703","56,751","67,353","74,595","89,746","101,859","88,114","37,209","10,702","824","9","533,447","533,447","35,805","52,499","50,208","61,713","84,038","101,319","86,544","39,546","18,524","3,177","74"
"울산광역시 중구 (3111000000)","104,742","104,742","6,537","9,942","11,677","13,331","15,757","18,862","17,672","8,218","2,567","177","2","102,265","102,265","6,075","9,044","8,926","11,301","14,931","19,309","18,404","9,341","4,275","650","9"
"울산광역시 남구 (3114000000)","155,633","155,633","9,581","14,539","20,859","22,341","22,851","28,530","23,858","10,044","2,815","214","1","149,138","149,138","9,073","13,241","15,970","18,277","22,510","29,542","24,334","10,909","4,588","680","14"
"울산광역시 동구 (3117000000)","78,761","78,761","5,226","8,476","8,562","10,081","14,396","12,657","12,165","5,803","1,316","77","2","72,194","72,194","5,063","7,810","6,460","7,932","12,207","11,741","12,904","5,656","2,082","326","13"
"울산광역시 북구 (3120000000)","112,282","112,282","9,785","12,961","13,317","16,007","19,973","19,169","14,875","4,745","1,337","112","1","104,313","104,313","9,355","12,200","9,197","13,689","18,954","19,654","13,200","5,048","2,528","470","18"
"울산광역시 울주군 (3171000000)","113,447","113,447","6,574","10,833","12,938","12,835","16,769","22,641","19,544","8,399","2,667","244","3","105,537","105,537","6,239","10,204","9,655","10,514","15,436","21,073","17,702","8,592","5,051","1,051","20"
"세종특별자치시  (3600000000)","194,407","194,407","21,084","26,515","18,981","29,019","38,002","29,689","19,255","8,435","3,078","345","4","196,196","196,196","20,409","25,929","18,258","29,846","39,283","27,220","19,366","9,216","5,335","1,297","37"
"세종특별자치시  (3611000000)","194,407","194,407","21,084","26,515","18,981","29,019","38,002","29,689","19,255","8,435","3,078","345","4","196,196","196,196","20,409","25,929","18,258","29,846","39,283","27,220","19,366","9,216","5,335","1,297","37"
"경기도  (4100000000)","6,880,565","6,880,565","482,736","674,362","855,710","995,385","1,132,737","1,187,244","949,610","418,091","167,065","17,190","435","6,810,080","6,810,080","460,397","644,529","776,598","908,407","1,087,920","1,170,293","953,633","481,605","273,114","52,073","1,511"
"북부출장소  (4110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 수원시 (4111000000)","599,977","599,977","39,983","57,370","89,120","98,721","96,119","100,079","75,594","30,253","11,527","1,185","26","593,500","593,500","37,666","54,119","81,893","87,385","93,615","102,339","76,697","36,137","19,882","3,647","120"
"경기도 수원시 장안구 (4111100000)","137,805","137,805","7,573","13,341","21,795","18,976","20,107","24,938","19,215","8,051","3,454","346","9","136,865","136,865","7,395","12,519","18,230","16,537","20,212","25,455","19,620","9,869","5,869","1,123","36"
"경기도 수원시 권선구 (4111300000)","183,295","183,295","12,016","16,294","24,853","30,725","30,009","30,488","25,194","9,904","3,447","360","5","179,564","179,564","11,097","15,462","23,261","26,379","27,675","31,663","25,491","11,475","5,939","1,096","26"
"경기도 수원시 팔달구 (4111500000)","97,827","97,827","5,728","6,937","14,822","17,426","14,349","16,342","13,358","6,222","2,398","241","4","96,720","96,720","5,347","6,530","14,596","14,741","13,180","15,989","13,944","7,548","4,145","672","28"
"경기도 수원시 영통구 (4111700000)","181,050","181,050","14,666","20,798","27,650","31,594","31,654","28,311","17,827","6,076","2,228","238","8","180,351","180,351","13,827","19,608","25,806","29,728","32,548","29,232","17,642","7,245","3,929","756","30"
"경기도 성남시 (4113000000)","451,817","451,817","29,102","41,703","57,365","69,247","71,480","76,258","63,103","30,113","12,138","1,274","34","461,964","461,964","27,997","40,111","54,983","65,298","72,511","77,143","66,135","35,504","18,471","3,717","94"
"경기도 성남시 수정구 (4113100000)","118,875","118,875","6,860","8,170","15,668","19,325","18,351","20,022","18,222","8,902","3,102","249","4","116,308","116,308","6,685","8,054","14,193","16,850","16,367","18,942","18,826","10,595","4,939","829","28"
"경기도 성남시 중원구 (4113300000)","104,572","104,572","5,644","7,369","13,286","17,080","15,797","17,770","16,694","7,919","2,802","202","9","102,767","102,767","5,556","6,910","12,481","14,466","14,279","17,236","17,309","9,232","4,539","732","27"
"경기도 성남시 분당구 (4113500000)","228,370","228,370","16,598","26,164","28,411","32,842","37,332","38,466","28,187","13,292","6,234","823","21","242,889","242,889","15,756","25,147","28,309","33,982","41,865","40,965","30,000","15,677","8,993","2,156","39"
"경기도 의정부시 (4115000000)","226,310","226,310","14,741","20,377","28,305","30,867","35,212","40,266","33,472","15,655","6,756","648","11","234,722","234,722","13,744","19,336","28,183","29,198","33,896","42,209","35,727","19,373","11,162","1,833","61"
"경기도 안양시 (4117000000)","273,587","273,587","17,937","25,070","34,485","42,648","41,392","46,031","40,808","18,176","6,347","683","10","281,054","281,054","17,410","23,549","32,195","39,970","41,468","49,271","43,803","20,210","10,894","2,233","51"
"경기도 안양시 만안구 (4117100000)","114,082","114,082","6,210","8,357","14,547","17,442","16,345","19,383","19,126","9,102","3,253","316","1","114,648","114,648","6,180","7,731","13,356","15,549","14,847","20,348","20,146","10,081","5,375","1,004","31"
"경기도 안양시 동안구 (4117300000)","159,505","159,505","11,727","16,713","19,938","25,206","25,047","26,648","21,682","9,074","3,094","367","9","166,406","166,406","11,230","15,818","18,839","24,421","26,621","28,923","23,657","10,129","5,519","1,229","20"
"경기도 부천시 (4119000000)","380,509","380,509","21,591","32,334","47,216","54,868","58,123","66,793","63,272","26,686","8,734","875","17","390,308","390,308","20,481","30,802","45,440","50,862","56,567","70,563","67,182","29,823","15,516","2,981","91"
"경기도 부천시 원미구 (4119200000)","191,772","191,772","10,999","16,576","24,573","28,774","29,278","33,228","31,245","12,655","4,015","421","8","198,704","198,704","10,556","15,863","24,538","27,418","29,242","35,576","33,077","13,833","7,061","1,488","52"
"경기도 부천시 소사구 (4119400000)","111,864","111,864","7,441","9,878","12,549","15,910","18,266","18,217","17,784","8,616","2,905","290","8","116,091","116,091","6,901","9,580","11,944","15,077","17,732","19,651","19,876","9,684","4,746","873","27"
"경기도 부천시 오정구 (4119600000)","76,873","76,873","3,151","5,880","10,094","10,184","10,579","15,348","14,243","5,415","1,814","164","1","75,513","75,513","3,024","5,359","8,958","8,367","9,593","15,336","14,229","6,306","3,709","620","12"
"경기도 광명시 (4121000000)","136,082","136,082","8,848","14,031","16,401","18,847","21,849","23,978","19,341","9,261","3,217","299","10","141,662","141,662","8,525","13,434","15,578","17,903","22,794","24,496","21,308","10,911","5,616","1,068","29"
"경기도 평택시 (4122000000)","313,799","313,799","23,970","28,940","42,127","53,652","54,262","52,706","36,648","14,672","6,176","626","20","283,935","283,935","23,305","27,900","33,027","41,335","45,978","47,100","34,808","17,656","10,847","1,921","58"
"경기도 송탄출장소 (4122200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 안중출장소 (4122400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 동두천시 (4125000000)","43,274","43,274","2,052","3,804","4,881","4,573","5,902","8,332","7,645","3,904","1,977","201","3","43,615","43,615","1,887","3,763","4,216","3,855","5,672","7,548","7,568","5,028","3,479","583","16"
"경기도 안산시 (4127000000)","318,324","318,324","16,577","27,722","47,085","45,678","46,834","61,925","49,593","16,275","5,999","613","23","303,226","303,226","15,936","26,241","41,545","37,219","42,903","61,857","45,389","18,530","11,271","2,255","80"
"경기도 안산시 상록구 (4127100000)","167,252","167,252","8,078","14,756","25,495","22,506","24,307","33,296","26,295","8,709","3,420","376","14","160,445","160,445","7,723","14,127","22,310","18,272","22,617","33,391","23,994","10,194","6,519","1,246","52"
"경기도 안산시 단원구 (4127300000)","151,072","151,072","8,499","12,966","21,590","23,172","22,527","28,629","23,298","7,566","2,579","237","9","142,781","142,781","8,213","12,114","19,235","18,947","20,286","28,466","21,395","8,336","4,752","1,009","28"
"경기도 고양시 (4128000000)","521,865","521,865","33,989","49,410","64,680","72,664","79,967","95,799","77,768","31,025","14,722","1,803","38","548,806","548,806","32,640","47,515","63,873","72,301","83,268","102,286","78,377","37,712","25,764","4,949","121"
"경기도 고양시 덕양구 (4128100000)","242,252","242,252","17,209","20,803","28,204","36,461","38,727","42,254","35,596","15,380","6,879","724","15","251,159","251,159","16,497","20,162","27,693","36,164","38,129","43,573","36,183","18,644","11,896","2,166","52"
"경기도 고양시 일산동구 (4128500000)","142,788","142,788","8,699","13,815","18,492","19,540","21,421","26,883","21,569","8,012","3,810","531","16","151,409","151,409","8,337","13,090","18,901","19,689","22,959","29,140","21,484","9,488","6,821","1,467","33"
"경기도 고양시 일산서구 (4128700000)","136,825","136,825","8,081","14,792","17,984","16,663","19,819","26,662","20,603","7,633","4,033","548","7","146,238","146,238","7,806","14,263","17,279","16,448","22,180","29,573","20,710","9,580","7,047","1,316","36"
"경기도 과천시 (4129000000)","41,779","41,779","4,548","4,171","4,798","6,442","6,562","6,343","5,518","2,301","954","138","4","43,748","43,748","4,360","4,067","4,638","6,839","6,792","6,938","5,671","2,555","1,515","364","9"
"경기도 구리시 (4131000000)","92,386","92,386","5,592","8,564","11,307","12,593","14,613","16,576","14,442","6,079","2,400","213","7","94,389","94,389","5,413","7,902","11,114","11,925","14,336","17,541","14,623","7,120","3,816","582","17"
"경기도 남양주시 (4136000000)","362,787","362,787","25,998","40,454","41,224","42,518","61,555","65,650","49,966","24,610","9,888","896","28","369,799","369,799","24,582","38,459","38,784","42,229","63,037","63,951","51,474","29,035","15,421","2,733","94"
"경기도 풍양출장소 (4136200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 오산시 (4137000000)","125,848","125,848","9,464","13,447","15,861","21,260","24,698","20,367","13,175","5,370","2,037","166","3","115,447","115,447","9,015","12,847","13,253","16,945","21,145","18,565","13,257","6,322","3,507","577","14"
"경기도 시흥시 (4139000000)","270,288","270,288","21,074","26,279","33,263","40,656","49,256","48,551","35,191","11,625","3,986","398","9","248,298","248,298","20,375","25,299","28,044","34,934","42,349","44,565","31,097","12,678","7,465","1,448","44"
"경기도 군포시 (4141000000)","127,233","127,233","7,061","11,937","16,639","18,597","18,690","22,636","19,668","8,231","3,301","465","8","129,174","129,174","6,682","11,147","15,137","16,409","18,639","23,875","21,000","9,312","5,724","1,224","25"
"경기도 의왕시 (4143000000)","76,592","76,592","5,638","6,677","9,600","11,580","11,019","12,706","12,106","5,192","1,874","195","5","78,079","78,079","5,286","6,258","8,735","10,975","10,688","14,027","12,908","5,439","3,019","718","26"
"경기도 하남시 (4145000000)","163,724","163,724","14,813","16,435","17,195","25,061","30,868","24,960","20,405","10,535","3,197","246","9","165,617","165,617","13,934","16,104","17,563","25,560","29,705","24,062","21,942","11,023","4,673","1,016","35"
"경기도 용인시 (4146000000)","537,355","537,355","39,289","61,648","68,471","68,558","91,251","94,256","63,226","32,832","16,132","1,654","38","547,169","547,169","37,525","59,061","62,724","66,819","94,619","94,302","65,329","41,094","21,638","3,938","120"
